3 12585
0.960959 -0.244048 0.840321
0.667289 -0.704538 0.775445
1.008969 -0.602650 0.705420
1.148133 -0.440485 0.707975
1.088165 -0.287306 0.809627
1.113855 -0.300412 0.741630
1.142933 -0.276961 0.706717
1.160374 -0.229243 0.711095
1.158295 -0.177770 0.743207
1.138260 -0.141354 0.781143
1.109121 -0.129275 0.803819
1.082037 -0.138862 0.799912
1.065384 -0.158685 0.770838
1.061775 -0.174836 0.727912
1.067975 -0.177056 0.686188
1.077170 -0.162317 0.657885
1.082307 -0.134931 0.647844
1.079029 -0.103663 0.652533
1.067072 -0.077413 0.662707
1.049721 -0.061474 0.668149
1.031870 -0.055891 0.662097
1.017723 -0.056305 0.643467
1.009184 -0.056481 0.616360
1.005462 -0.051167 0.587577
1.003826 -0.038072 0.563479
1.001020 -0.018325 0.547490
0.994664 0.004519 0.539134
0.984079 0.026314 0.534797
0.970291 0.044112 0.529672
0.955328 0.057190 0.519904
0.941227 0.066984 0.504002
0.929203 0.076158 0.483065
0.919287 0.087329 0.459937
0.910503 0.102020 0.437808
0.901413 0.120228 0.418888
0.890759 0.140665 0.403682
0.877929 0.161486 0.391039
0.863085 0.181116 0.378858
0.846966 0.198842 0.365072
0.830488 0.214963 0.348461
0.814340 0.230507 0.329003
0.798739 0.246710 0.307696
0.783411 0.264491 0.286020
0.767766 0.284144 0.265286
0.751167 0.305322 0.246160
0.733171 0.327276 0.228509
0.713651 0.349211 0.211578
0.692781 0.370604 0.194383
0.670895 0.391356 0.176129
0.648317 0.411763 0.156495
0.625218 0.432332 0.135688
0.601555 0.453546 0.114299
0.577101 0.475679 0.093035
0.551540 0.498715 0.072453
0.524571 0.522393 0.052799
0.495990 0.546329 0.033987
0.465724 0.570166 0.015706
0.433800 0.593677 -0.002405
0.400288 0.616812 -0.020584
0.365231 0.639653 -0.038849
0.328600 0.662333 -0.056985
0.290281 0.684943 -0.074614
0.250084 0.707460 -0.091297
0.207789 0.729727 -0.106640
0.163177 0.751466 -0.120351
0.116062 0.772325 -0.132253
0.066302 0.791929 -0.142236
0.013789 0.809912 -0.150194
-0.041570 0.825925 -0.155961
-0.099871 0.839616 -0.159261
-0.161230 0.850596 -0.159701
-0.225780 0.858389 -0.156777
-0.293668 0.862398 -0.149915
-0.365033 0.861872 -0.138501
-0.439986 0.855891 -0.121920
-0.518582 0.843353 -0.099579
-0.600800 0.822966 -0.070923
-0.686507 0.793229 -0.035459
-0.775430 0.752415 0.007210
-0.867110 0.698540 0.057319
-0.960833 0.629331 0.114831
-1.055543 0.542196 0.179264
-1.149722 0.434224 0.249421
-1.241210 0.302207 0.323006
-1.326985 0.142747 0.396055
-0.335912 0.963627 0.459231
-0.419472 0.526419 0.012314
-0.358412 0.277790 -0.579500
-0.222658 0.271614 -1.114044
-1.084424 0.539162 0.568012
-1.133451 0.291945 0.383908
-1.153650 0.103841 0.182192
-1.158820 -0.027854 -0.006922
-1.158884 -0.113319 -0.168919
-1.159916 -0.164629 -0.299466
-1.165074 -0.192800 -0.399660
-1.175656 -0.206730 -0.472722
-1.191943 -0.213229 -0.522073
-1.213744 -0.217556 -0.550486
-1.240646 -0.224075 -0.559991
-1.272044 -0.236811 -0.552269
0.914922 1.029809 0.082569
0.468799 0.809865 0.469041
0.222198 0.347378 0.296943
0.215960 -0.065664 -0.223981
0.392536 -0.241228 -0.828015
0.644127 -0.115783 -1.252516
0.802576 1.046789 -0.352712
0.587838 1.165167 0.173327
0.358761 1.059840 0.440400
0.194360 0.827006 0.407774
0.128060 0.589990 0.155939
0.149189 0.443849 -0.185426
0.219673 0.431900 -0.487340
0.291817 0.544735 -0.651186
0.323946 0.731216 -0.633303
0.293463 0.919781 -0.459596
0.203185 1.046839 -0.212714
0.076854 1.080573 0.008784
-0.053914 1.028121 0.134207
-0.163462 0.924817 0.141552
-0.239848 0.814848 0.051614
-0.285106 0.734441 -0.091031
-0.310842 0.702964 -0.236636
-0.332579 0.721475 -0.343306
-0.364822 0.776105 -0.384838
-0.417534 0.844092 -0.354238
-0.494346 0.900899 -0.262598
-0.592697 0.926687 -0.133243
-0.705672 0.910361 0.007047
-0.824719 0.850182 0.136268
-0.942134 0.751360 0.241823
-1.052487 0.622179 0.320692
-1.152760 0.470406 0.376361
-1.241548 0.301082 0.414584
-1.317852 0.115936 0.439578
-0.818949 0.755591 0.455269
-0.843942 0.406021 0.007478
-0.793082 0.234163 -0.476243
-0.716122 0.241959 -0.879294
-0.655869 0.395321 -1.117113
1.018164 0.121736 0.681049
0.655773 -0.273391 0.708388
0.586105 -0.773300 0.353774
0.783984 -1.089460 -0.160227
0.849124 0.013945 0.870079
