3 8829
6.802755 -0.613407 0.787370
6.685467 -0.426962 0.453187
6.685467 -0.690284 0.499768
6.685467 -1.148830 0.756113
6.685467 -1.458087 0.341440
6.685467 -1.753500 0.260461
6.802755 -1.600649 0.409507
6.685467 -1.388088 0.122061
5.629867 -1.009742 -0.048520
5.629867 -0.486647 -0.022050
5.747156 -0.098359 0.090281
5.629867 0.641844 0.387025
5.629867 0.924902 0.474584
5.747156 0.531701 0.928066
5.629867 -0.025915 1.453235
5.747156 -0.203120 1.492102
6.568178 0.131356 1.531653
6.568178 0.166730 1.350268
6.216311 -0.046998 0.899745
5.512578 -0.135198 0.437169
5.278000 -0.256610 -0.066482
5.160711 0.130888 -0.326980
5.160711 -0.037940 -1.047224
5.160711 -0.400471 -1.051345
5.160711 -0.133027 -0.729951
5.160711 0.080336 -0.943392
5.160711 0.462055 -1.143707
5.160711 0.736425 -1.837145
5.160711 0.847545 -2.176805
5.278000 0.883441 -1.594406
5.278000 0.431205 -0.643933
5.512578 0.208445 -1.007796
5.747156 -0.025696 -1.205932
5.864444 -0.996116 -0.916654
5.981733 -1.403211 -0.394050
6.216311 -1.248402 0.137204
6.450889 -1.461943 0.490445
6.568178 -0.933344 0.764755
6.685467 -0.150792 0.336370
6.685467 -0.064101 0.147728
6.802755 0.408819 0.375583
6.802755 0.765528 0.485968
6.920044 0.786792 0.325344
6.920044 0.682343 0.798221
7.037333 0.119662 1.794044
7.271911 -0.176396 1.046342
7.271911 0.009583 0.829634
6.802755 -0.090397 0.698217
6.568178 -0.781129 0.495876
6.450889 -0.655604 0.738011
6.333600 -0.909958 0.542661
6.333600 -0.828090 0.547293
6.333600 -0.763123 -0.321238
5.747156 -0.527429 -0.328713
5.747156 -0.526405 -0.503745
5.512578 -0.395206 -0.698734
5.512578 0.075447 -0.166325
4.339689 0.751259 0.481261
4.222400 0.900811 0.735081
4.105111 1.849981 0.282231
4.222400 1.723645 0.195386
4.222400 1.740833 0.059057
4.222400 1.694827 0.346743
4.222400 1.840094 0.799248
4.339689 1.352993 0.692580
4.222400 1.093994 0.041894
4.222400 0.914095 -0.632010
4.339689 0.509808 -0.433926
4.339689 0.572951 -0.039318
4.339689 0.751093 -0.311447
4.339689 0.739157 -0.211856
4.456978 1.455501 -0.359102
4.456978 1.609703 -0.886545
4.339689 1.836420 -0.595988
4.339689 1.938246 -0.487497
4.339689 1.503820 -0.397621
4.339689 1.092550 -0.466654
4.339689 0.980020 -0.308772
4.339689 1.045387 -0.032336
5.160711 -0.140000 -0.801169
4.926133 0.101721 -0.436719
4.691556 0.593764 -0.043188
4.574267 0.574388 0.424493
4.574267 0.674137 0.666800
4.339689 1.229409 0.905356
4.339689 1.545395 0.724938
4.339689 1.194897 0.274434
4.339689 0.909311 0.486669
4.456978 0.722816 0.677814
5.160711 0.440896 0.256905
5.512578 0.076367 -0.412146
5.512578 -0.730692 -0.737383
5.629867 -1.121450 -0.949482
5.629867 -0.996358 -0.947572
6.568178 -0.844552 -0.990911
6.802755 -1.376923 -0.367480
6.802755 -1.224710 0.332913
6.920044 -1.228914 0.600121
6.920044 -0.941811 0.691143
6.920044 -1.011148 0.747801
6.920044 -0.763050 1.032430
6.920044 -0.638408 1.069442
6.802755 -0.840891 1.311085
6.802755 -1.040636 1.242600
6.802755 -1.152045 0.873194
6.568178 -1.339358 0.393941
6.450889 -1.147951 -0.198187
6.216311 -0.453442 -0.496647
6.099022 -0.180004 -0.309266
5.395289 -0.056391 -0.458578
5.395289 -0.242410 -0.862086
5.278000 -0.074239 -1.354222
5.278000 -0.074611 -0.953795
5.278000 0.527727 -0.131827
5.278000 0.804864 -0.257335
5.278000 0.937457 -0.468759
5.160711 1.023332 -0.486450
5.160711 0.849005 -0.362024
5.160711 0.557459 -0.219277
5.160711 0.721536 -0.167042
