3 20000
1.155286 -0.683894 0.467467
1.315899 -0.588297 0.388517
1.407589 -0.165345 0.730385
1.316619 -0.043697 0.960570
1.192953 -0.051272 1.090225
1.094366 -0.159330 1.086121
1.056347 -0.301009 0.977551
1.082167 -0.408544 0.828580
1.148133 -0.440485 0.707975
1.217558 -0.393253 0.663266
1.257662 -0.297284 0.703075
1.253242 -0.199768 0.796535
1.211015 -0.141343 0.892616
1.153103 -0.138681 0.947412
1.104519 -0.181222 0.942503
1.081893 -0.240908 0.887311
1.088165 -0.287306 0.809627
1.113855 -0.300412 0.741630
1.142933 -0.276961 0.706717
1.160374 -0.229243 0.711095
1.158295 -0.177770 0.743207
1.138260 -0.141354 0.781143
1.109121 -0.129275 0.803819
1.082037 -0.138862 0.799912
1.065384 -0.158685 0.770838
1.061775 -0.174836 0.727912
1.067975 -0.177056 0.686188
1.077170 -0.162317 0.657885
1.082307 -0.134931 0.647844
1.079029 -0.103663 0.652533
1.067072 -0.077413 0.662707
1.049721 -0.061474 0.668149
1.031870 -0.055891 0.662097
1.017723 -0.056305 0.643467
1.009184 -0.056481 0.616360
1.005462 -0.051167 0.587577
1.003826 -0.038072 0.563479
1.001020 -0.018325 0.547490
0.994664 0.004519 0.539134
0.984079 0.026314 0.534797
0.970291 0.044112 0.529672
0.955328 0.057190 0.519904
0.941227 0.066984 0.504002
0.929203 0.076158 0.483065
0.919287 0.087329 0.459937
0.910503 0.102020 0.437808
0.901413 0.120228 0.418888
0.890759 0.140665 0.403682
0.877929 0.161486 0.391039
0.863085 0.181116 0.378858
0.846966 0.198842 0.365072
0.830488 0.214963 0.348461
0.814340 0.230507 0.329003
0.798739 0.246710 0.307696
0.783411 0.264491 0.286020
0.767766 0.284144 0.265286
0.751167 0.305322 0.246160
0.733171 0.327276 0.228509
0.713651 0.349211 0.211578
0.692781 0.370604 0.194383
0.670895 0.391356 0.176129
0.648317 0.411763 0.156495
0.625218 0.432332 0.135688
0.601555 0.453546 0.114299
0.577101 0.475679 0.093035
0.551540 0.498715 0.072453
0.524571 0.522393 0.052799
0.495990 0.546329 0.033987
0.465724 0.570166 0.015706
0.433800 0.593677 -0.002405
0.400288 0.616812 -0.020584
0.365231 0.639653 -0.038849
0.328600 0.662333 -0.056985
0.290281 0.684943 -0.074614
0.250084 0.707460 -0.091297
0.207789 0.729727 -0.106640
0.163177 0.751466 -0.120351
0.116062 0.772325 -0.132253
0.066302 0.791929 -0.142236
0.013789 0.809912 -0.150194
-0.041570 0.825925 -0.155961
-0.099871 0.839616 -0.159261
-0.161230 0.850596 -0.159701
-0.225780 0.858389 -0.156777
-0.293668 0.862398 -0.149915
-0.365033 0.861872 -0.138501
-0.439986 0.855891 -0.121920
-0.518582 0.843353 -0.099579
-0.600800 0.822966 -0.070923
-0.686507 0.793229 -0.035459
-0.775430 0.752415 0.007210
